sh600010:5997446.4400,30751402.0800,17141228.6000,17935900.6400,10128954.7400,13710902.8000,11009492.0000,15180313.5600;
sh600048:75975980.7700,98970075.6500,170698242.9100,133287775.5700,88135890.3900,77467810.8800,22228137.3000,18595991.3100;
sh600053:1700460.0000,0.0000,8653718.8100,8734002.0000,18900026.0000,19145390.0000,13272872.0000,11603331.0000;
sh600061:5696117.9500,6829119.0000,18304233.9000,22679174.9800,19875617.5800,18550537.9400,14606287.8100,11145811.7400;
sh600063:2415556.0000,1022463.0000,15604814.5600,10408413.0000,25023511.0000,13975755.2700,12964170.3800,11999382.6100;
sh600071:0.0000,0.0000,1206638.0000,2331047.0000,2129656.0000,1871632.0000,3390822.0000,2755007.0000;
sh600076:0.0000,0.0000,4925600.6800,2124430.0000,4897148.7200,6128107.0000,3985431.0000,3534423.0000;
sh600077:2269230.0000,0.0000,8879890.3200,285377.9200,3938030.0000,3653533.0000,3216210.0000,4088721.0600;
sh600078:6092486.2800,0.0000,53312073.5800,43787653.2600,41896976.9500,34069518.5300,17597366.0700,12312391.3400;
sh600079:163912694.9800,105391388.7000,196007818.5100,138938783.4900,70259534.4600,60274428.3000,18048057.0000,17090583.2600;
sh600081:1081080.0000,0.0000,3091138.0000,1745252.0000,5076567.0600,5831654.0000,4156467.8400,5147395.1600;
sh600082:0.0000,0.0000,3113434.0000,916835.0000,2896529.0000,4807808.5000,3113961.5000,3665858.0000;
sh600090:2645530.0000,8506614.0000,5888347.0000,11908626.0000,9274029.0000,11117706.0000,10592584.0200,6914437.4300;
sh600101:0.0000,0.0000,537286.0000,1542695.0000,3103034.0000,2926945.2000,3877482.6000,5765954.2000;
sh600111:61190580.1600,32094919.7500,80506769.2800,57933729.5000,42835867.9500,44698949.6700,18781409.5700,19144478.8200;
sh600113:6286978.8500,0.0000,10877033.1800,8992414.1000,9920964.8000,12553539.3100,5685860.7000,6267115.7200;
sh600115:11323285.0000,6328526.0000,28735366.7100,22776081.1900,15436873.2900,20221931.3100,14721134.5000,16211099.1300;
sh600120:7079712.0800,8314736.9800,30547570.2900,37388117.4600,34192543.2100,31314242.7200,16772918.8300,15648512.3100;
sh600146:35549025.0000,16714621.0000,50294236.1500,55834231.5800,33643663.9400,35630963.4300,16901470.1200,13939599.4800;
sh600151:1669215.0000,0.0000,3822938.0000,1543553.0000,2563910.8000,3659187.3000,3722030.7000,3550505.0000;
sh600156:0.0000,0.0000,603837.0000,1469661.0000,3030284.6200,3397066.0000,4902053.0900,4770650.0000;
sh600160:9641010.3200,4314101.0000,22438318.3100,23575258.0500,19452968.8400,19978916.3000,11017259.6500,11668069.2100;
sh600161:37321086.5500,45786094.9300,49868976.8700,52714846.5500,38961249.5000,34536065.9000,16541806.7000,25518730.7200;
sh600162:1114876.0000,0.0000,3040210.0000,2287772.0000,4113047.7800,2593368.4800,3437959.1400,1561419.4200;
sh600169:3605229.1000,1148112.0000,7419215.0400,2486149.0000,3329300.1000,3628170.8000,3903666.5000,3201122.6000;
sh600175:6653465.0000,4751802.0000,12458888.0200,8141773.3600,9632944.2100,9365960.2000,9157558.4500,8780283.4500;
sh600197:0.0000,1300000.0000,17046136.5100,15033414.0000,16382401.3100,12006879.6900,8521561.0000,8886553.0000;
sh600199:3404582.0000,0.0000,7178933.0000,3930003.0000,6485266.0000,4525176.0000,6029879.0000,4703825.3100;
sh600200:2344160.0000,3377594.0000,10408246.5100,28502432.9600,18152095.8200,28306118.5300,13817951.8600,15001853.3400;
sh600203:4231645.0000,1947015.0000,30325288.1300,15657626.0000,30662884.1300,24572779.9900,17323463.2700,14742111.6300;
sh600206:8038980.0000,11984779.2000,70417591.6600,54825567.0300,45440650.9100,53395383.7900,18603525.4500,19969960.8100;
sh600207:0.0000,0.0000,1593371.0000,2929105.0000,4614341.0000,3233189.0000,4157764.0000,3858348.0000;
sh600208:29791993.0000,35294645.4500,62944692.0900,68988654.0000,38757387.3800,38434445.3000,14060382.0300,18947134.7000;
sh600213:0.0000,0.0000,3354207.0000,4567923.0000,6696972.0000,8257774.5800,5817933.0100,7450727.1000;
sh600218:0.0000,0.0000,6567176.8700,7176016.5800,12292948.4400,11266510.8900,9965514.6000,9250165.7500;
sh600221:19013307.0200,14289211.0100,11022378.1200,16107098.9100,10282680.0000,9118093.7200,12472098.6500,9472235.3300;
sh600223:13436107.0000,5791114.0000,43776536.4100,34725681.1000,25415775.3200,27096468.6800,10906946.0000,14087586.4800;
sh600226:49803712.2600,97914115.0600,148966052.5800,152031072.5900,80226727.4700,72733998.5100,21980717.1100,18758962.8500;
sh600227:0.0000,2088754.3800,10492227.8600,8909762.2700,16453771.6800,10881899.0300,11615707.7900,8301426.9000;
sh600235:1289442.0000,0.0000,1679220.0000,2948144.0000,2281444.0000,3766184.0000,3547912.9600,3384802.0000;
sh600236:0.0000,0.0000,634552.8400,1487688.0000,1075765.2000,714564.4000,2058798.2200,4801420.7600;
sh600242:1619352.0000,14467960.9400,20277154.0000,36429716.0400,35785481.5200,35931755.8800,18489516.6400,17995225.0000;
sh600246:1096000.0000,10305789.6000,8175342.0000,18827742.0000,16401474.2000,16716848.6000,10152888.4800,8913260.7300;
sh600262:0.0000,0.0000,1294743.0000,3412608.0000,4738334.0000,4756821.0000,7041649.0000,7367426.8800;
sh600266:0.0000,1360680.0000,6744805.9600,6843672.6000,8313626.8000,9856368.0200,9277219.5500,6142819.3100;
sh600267:152274227.9500,264152683.1500,257053060.2000,260987257.9000,82782598.0700,84107528.4500,15780126.3300,16466206.6400;
